name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.set_team_id_on_insert\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""set_team_id_on_insert"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_set_team_id_on_insert_e42a3c10a1be36ffccb9ad1f119a177c
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.intern_get_user_role\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""intern_get_user_role"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_intern_get_user_role_9e5f60aa20b896c33ef675a153763c47
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.task_requests_set_updated_at\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""task_requests_set_updated_at"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_task_requests_set_updated_at_c28bbd99ced3dfcd7ff6c2a1298a90e1
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.intern_generate_checklist\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""intern_generate_checklist"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_intern_generate_checklist_7ac8e1b25eeadf433ca2b197567ff8f0
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.publish_daily_checklist\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""publish_daily_checklist"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_publish_daily_checklist_df61513e83d23180e66e16a64c14702e
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.approve_task_edit_request\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""approve_task_edit_request"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_approve_task_edit_request_7057fdf45a4c078882084deaff9c73a6
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.add_task_template_item(p_template_id uuid, p_title text, p_description text, p_category text, p_sort_order integer, p_is_required boolean, p_default_due_offset_days integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/add_task_template_item`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""add_task_template_item"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_template_id uuid, p_title text, p_description text, p_category text, p_sort_order integer, p_is_required boolean, p_default_due_offset_days integer"",""security_definer"":true}","authenticated_security_definer_function_executable_public_add_task_template_item_p_template_id uuid, p_title text, p_description text, p_category text, p_sort_order integer, p_is_required boolean, p_default_due_offset_days integer"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.admin_currently_clocked_in()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_currently_clocked_in`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_currently_clocked_in"",""schema"":""public"",""language"":""plpgsql"",""arguments"":"""",""security_definer"":true}",authenticated_security_definer_function_executable_public_admin_currently_clocked_in_
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.admin_delete_session(p_session_id uuid, p_cancel_note text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_delete_session`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_delete_session"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_session_id uuid, p_cancel_note text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_admin_delete_session_p_session_id uuid, p_cancel_note text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.admin_list_all_assigned_tasks(p_include_completed boolean)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_list_all_assigned_tasks`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_list_all_assigned_tasks"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_include_completed boolean"",""security_definer"":true}",authenticated_security_definer_function_executable_public_admin_list_all_assigned_tasks_p_include_completed boolean
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.admin_list_all_sessions(p_include_past boolean)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_list_all_sessions`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_list_all_sessions"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_include_past boolean"",""security_definer"":true}",authenticated_security_definer_function_executable_public_admin_list_all_sessions_p_include_past boolean
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.admin_list_clock_entries(p_member_id uuid, p_limit integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_list_clock_entries`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_list_clock_entries"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_member_id uuid, p_limit integer"",""security_definer"":true}","authenticated_security_definer_function_executable_public_admin_list_clock_entries_p_member_id uuid, p_limit integer"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.admin_recent_approvals(p_limit integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_recent_approvals`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_recent_approvals"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_limit integer"",""security_definer"":true}",authenticated_security_definer_function_executable_public_admin_recent_approvals_p_limit integer
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.admin_recent_assignments(p_limit integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_recent_assignments`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_recent_assignments"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_limit integer"",""security_definer"":true}",authenticated_security_definer_function_executable_public_admin_recent_assignments_p_limit integer
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.admin_update_assigned_task(p_task_id uuid, p_title text, p_description text, p_category text, p_due_date date, p_clear_due boolean, p_clear_description boolean, p_clear_category boolean)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_update_assigned_task`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_update_assigned_task"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_task_id uuid, p_title text, p_description text, p_category text, p_due_date date, p_clear_due boolean, p_clear_description boolean, p_clear_category boolean"",""security_definer"":true}","authenticated_security_definer_function_executable_public_admin_update_assigned_task_p_task_id uuid, p_title text, p_description text, p_category text, p_due_date date, p_clear_due boolean, p_clear_description boolean, p_clear_category boolean"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.admin_update_session(p_session_id uuid, p_client_name text, p_session_date date, p_start_time time without time zone, p_end_time time without time zone, p_session_type text, p_status text, p_room text, p_notes text, p_assigned_to uuid, p_clear_client_name boolean, p_clear_room boolean, p_clear_notes boolean, p_clear_assigned_to boolean)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_update_session`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_update_session"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_session_id uuid, p_client_name text, p_session_date date, p_start_time time without time zone, p_end_time time without time zone, p_session_type text, p_status text, p_room text, p_notes text, p_assigned_to uuid, p_clear_client_name boolean, p_clear_room boolean, p_clear_notes boolean, p_clear_assigned_to boolean"",""security_definer"":true}","authenticated_security_definer_function_executable_public_admin_update_session_p_session_id uuid, p_client_name text, p_session_date date, p_start_time time without time zone, p_end_time time without time zone, p_session_type text, p_status text, p_room text, p_notes text, p_assigned_to uuid, p_clear_client_name boolean, p_clear_room boolean, p_clear_notes boolean, p_clear_assigned_to boolean"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.approve_task_edit_request(p_request_id uuid, p_apply_to_template boolean)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/approve_task_edit_request`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""approve_task_edit_request"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_request_id uuid, p_apply_to_template boolean"",""security_definer"":true}","authenticated_security_definer_function_executable_public_approve_task_edit_request_p_request_id uuid, p_apply_to_template boolean"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.approve_task_reassignment(p_request_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/approve_task_reassignment`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""approve_task_reassignment"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_request_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_approve_task_reassignment_p_request_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.approve_task_request(p_request_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/approve_task_request`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""approve_task_request"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_request_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_approve_task_request_p_request_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.approve_task_request(p_request_id uuid, p_category text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/approve_task_request`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""approve_task_request"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_request_id uuid, p_category text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_approve_task_request_p_request_id uuid, p_category text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.archive_client(p_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/archive_client`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""archive_client"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_archive_client_p_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.assign_custom_task_to_members(p_member_ids uuid[], p_title text, p_description text, p_category text, p_due_date date, p_is_required boolean, p_show_on_overview boolean)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/assign_custom_task_to_members`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""assign_custom_task_to_members"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_member_ids uuid[], p_title text, p_description text, p_category text, p_due_date date, p_is_required boolean, p_show_on_overview boolean"",""security_definer"":true}","authenticated_security_definer_function_executable_public_assign_custom_task_to_members_p_member_ids uuid[], p_title text, p_description text, p_category text, p_due_date date, p_is_required boolean, p_show_on_overview boolean"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.assign_custom_task_to_members(p_member_ids uuid[], p_title text, p_description text, p_category text, p_due_date date, p_is_required boolean, p_show_on_overview boolean, p_scope text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/assign_custom_task_to_members`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""assign_custom_task_to_members"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_member_ids uuid[], p_title text, p_description text, p_category text, p_due_date date, p_is_required boolean, p_show_on_overview boolean, p_scope text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_assign_custom_task_to_members_p_member_ids uuid[], p_title text, p_description text, p_category text, p_due_date date, p_is_required boolean, p_show_on_overview boolean, p_scope text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.assign_custom_tasks_to_members(p_member_ids uuid[], p_tasks jsonb, p_batch_title text, p_scope text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/assign_custom_tasks_to_members`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""assign_custom_tasks_to_members"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_member_ids uuid[], p_tasks jsonb, p_batch_title text, p_scope text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_assign_custom_tasks_to_members_p_member_ids uuid[], p_tasks jsonb, p_batch_title text, p_scope text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.assign_session(p_session_id uuid, p_assignee_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/assign_session`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""assign_session"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_session_id uuid, p_assignee_id uuid"",""security_definer"":true}","authenticated_security_definer_function_executable_public_assign_session_p_session_id uuid, p_assignee_id uuid"
